Date,District,Latitude,Longitude,Rainfall_mm,Temp_C,Humidity_pct,WindSpeed_ms
2019-01-01,Chennai,13.0827,80.2707,0.0,22.22,69.45,3.16
2019-01-02,Chennai,13.0827,80.2707,0.0,22.74,72.73,3.14
2019-01-03,Chennai,13.0827,80.2707,0.0,23.23,72.39,3.11
2019-01-04,Chennai,13.0827,80.2707,0.0,23.08,72.75,3.24
2019-01-05,Chennai,13.0827,80.2707,0.0,23.14,72.64,2.99
2019-01-06,Chennai,13.0827,80.2707,0.0,23.09,73.77,2.72
2019-01-07,Chennai,13.0827,80.2707,0.0,23.64,75.06,2.74
2019-01-08,Chennai,13.0827,80.2707,0.0,23.01,75.19,2.48
2019-01-09,Chennai,13.0827,80.2707,0.0,23.18,73.49,2.3
2019-01-10,Chennai,13.0827,80.2707,0.0,23.54,74.62,2.9
2019-01-11,Chennai,13.0827,80.2707,0.01,23.69,72.14,2.98
2019-01-12,Chennai,13.0827,80.2707,0.0,23.22,73.18,3.32
2019-01-13,Chennai,13.0827,80.2707,0.01,23.33,74.22,2.96
2019-01-14,Chennai,13.0827,80.2707,0.0,23.33,74.69,3.05
2019-01-15,Chennai,13.0827,80.2707,0.0,23.33,73.53,3.31
2019-01-16,Chennai,13.0827,80.2707,0.0,23.81,76.64,3.06
2019-01-17,Chennai,13.0827,80.2707,0.01,23.68,74.42,2.79
2019-01-18,Chennai,13.0827,80.2707,0.0,23.5,73.19,2.91
2019-01-19,Chennai,13.0827,80.2707,0.0,23.3,71.94,2.83
2019-01-20,Chennai,13.0827,80.2707,0.0,23.27,71.55,2.88
2019-01-21,Chennai,13.0827,80.2707,0.0,23.43,71.85,2.58
2019-01-22,Chennai,13.0827,80.2707,0.0,23.68,72.03,2.26
2019-01-23,Chennai,13.0827,80.2707,0.0,24.62,74.0,2.56
2019-01-24,Chennai,13.0827,80.2707,0.0,25.03,74.85,2.43
2019-01-25,Chennai,13.0827,80.2707,0.0,25.52,77.85,2.77
2019-01-26,Chennai,13.0827,80.2707,0.05,25.84,75.68,3.03
2019-01-27,Chennai,13.0827,80.2707,0.06,25.74,73.14,2.93
2019-01-28,Chennai,13.0827,80.2707,0.71,24.93,72.48,2.95
2019-01-29,Chennai,13.0827,80.2707,0.26,24.8,73.39,3.97
2019-01-30,Chennai,13.0827,80.2707,0.02,24.45,73.51,3.94
2019-01-31,Chennai,13.0827,80.2707,0.0,24.31,71.74,3.5
2019-02-01,Chennai,13.0827,80.2707,0.0,24.54,70.36,3.22
2019-02-02,Chennai,13.0827,80.2707,0.0,24.91,70.95,3.09
2019-02-03,Chennai,13.0827,80.2707,0.0,25.21,71.86,3.3
2019-02-04,Chennai,13.0827,80.2707,0.0,26.06,70.88,3.96
2019-02-05,Chennai,13.0827,80.2707,0.0,25.86,70.1,3.59
2019-02-06,Chennai,13.0827,80.2707,0.0,25.83,68.19,2.7
2019-02-07,Chennai,13.0827,80.2707,0.0,26.15,68.11,2.48
2019-02-08,Chennai,13.0827,80.2707,0.03,27.0,71.02,2.35
2019-02-09,Chennai,13.0827,80.2707,0.02,27.52,71.55,2.35
2019-02-10,Chennai,13.0827,80.2707,0.04,27.0,73.6,2.82
2019-02-11,Chennai,13.0827,80.2707,0.0,26.82,72.47,4.16
2019-02-12,Chennai,13.0827,80.2707,0.0,26.16,70.21,3.99
2019-02-13,Chennai,13.0827,80.2707,0.0,25.75,72.22,3.67
2019-02-14,Chennai,13.0827,80.2707,0.0,26.37,72.29,3.04
2019-02-15,Chennai,13.0827,80.2707,0.0,26.73,69.77,2.42
2019-02-16,Chennai,13.0827,80.2707,0.0,27.66,69.41,2.76
