Date,District,Latitude,Longitude,Rainfall_mm,Temperature_C,Humidity_pct,WindSpeed_ms
20140101,Ariyalur,11.1530559,79.2585797,0.23,24.56,75.01,3.34
20140102,Ariyalur,11.1530559,79.2585797,0.39,24.49,75.23,3.53
20140103,Ariyalur,11.1530559,79.2585797,0.78,24.75,77.14,3.43
20140104,Ariyalur,11.1530559,79.2585797,0.08,24.04,78.12,3.27
20140105,Ariyalur,11.1530559,79.2585797,1.04,24.51,76.66,3.83
20140106,Ariyalur,11.1530559,79.2585797,1.23,24.57,78.43,4.15
20140107,Ariyalur,11.1530559,79.2585797,1.53,25.21,76.11,3.98
20140108,Ariyalur,11.1530559,79.2585797,1.61,25.14,77.53,3.65
20140109,Ariyalur,11.1530559,79.2585797,0.16,25.4,73.88,3.31
20140110,Ariyalur,11.1530559,79.2585797,0.17,24.67,73.58,2.72
20140111,Ariyalur,11.1530559,79.2585797,0.0,24.63,73.59,2.18
20140112,Ariyalur,11.1530559,79.2585797,0.02,24.88,75.82,2.58
20140113,Ariyalur,11.1530559,79.2585797,0.32,25.6,75.41,3.26
20140114,Ariyalur,11.1530559,79.2585797,0.08,25.7,71.36,3.12
20140115,Ariyalur,11.1530559,79.2585797,0.0,25.52,70.6,2.59
20140116,Ariyalur,11.1530559,79.2585797,0.0,25.42,74.53,2.71
20140117,Ariyalur,11.1530559,79.2585797,0.0,24.98,72.08,3.04
20140118,Ariyalur,11.1530559,79.2585797,0.0,24.96,70.36,2.95
20140119,Ariyalur,11.1530559,79.2585797,0.05,25.16,75.6,3.11
20140120,Ariyalur,11.1530559,79.2585797,0.01,25.36,70.52,3.28
20140121,Ariyalur,11.1530559,79.2585797,0.0,25.38,70.45,3.5
20140122,Ariyalur,11.1530559,79.2585797,0.02,25.43,69.43,3.31
20140123,Ariyalur,11.1530559,79.2585797,0.04,25.51,69.65,3.22
20140124,Ariyalur,11.1530559,79.2585797,0.01,25.45,70.99,3.09
20140125,Ariyalur,11.1530559,79.2585797,0.0,25.31,68.82,3.28
20140126,Ariyalur,11.1530559,79.2585797,0.03,24.93,67.86,3.82
20140127,Ariyalur,11.1530559,79.2585797,0.06,25.42,67.38,3.7
20140128,Ariyalur,11.1530559,79.2585797,0.08,25.34,63.9,3.39
20140129,Ariyalur,11.1530559,79.2585797,0.0,25.33,64.1,3.44
20140130,Ariyalur,11.1530559,79.2585797,0.0,25.35,66.1,3.75
20140131,Ariyalur,11.1530559,79.2585797,0.0,25.93,69.47,3.58
20140201,Ariyalur,11.1530559,79.2585797,0.11,26.09,70.93,3.75
20140202,Ariyalur,11.1530559,79.2585797,0.21,25.68,72.78,3.71
20140203,Ariyalur,11.1530559,79.2585797,0.0,25.23,69.02,2.99
20140204,Ariyalur,11.1530559,79.2585797,0.0,24.95,67.96,2.56
20140205,Ariyalur,11.1530559,79.2585797,0.0,24.8,66.02,2.37
20140206,Ariyalur,11.1530559,79.2585797,0.0,25.04,68.01,2.43
20140207,Ariyalur,11.1530559,79.2585797,0.0,25.06,66.6,2.4
20140208,Ariyalur,11.1530559,79.2585797,0.0,25.25,64.99,2.31
20140209,Ariyalur,11.1530559,79.2585797,0.0,25.51,61.53,1.83
20140210,Ariyalur,11.1530559,79.2585797,0.0,25.82,63.36,2.27
20140211,Ariyalur,11.1530559,79.2585797,0.0,26.19,63.22,2.15
20140212,Ariyalur,11.1530559,79.2585797,0.0,26.79,63.44,2.02
20140213,Ariyalur,11.1530559,79.2585797,0.0,27.14,64.06,2.28
20140214,Ariyalur,11.1530559,79.2585797,0.0,27.36,64.07,2.27
20140215,Ariyalur,11.1530559,79.2585797,0.01,27.97,62.13,1.78
20140216,Ariyalur,11.1530559,79.2585797,0.05,28.42,65.52,2.17
20140217,Ariyalur,11.1530559,79.2585797,0.03,28.67,67.54,2.62
20140218,Ariyalur,11.1530559,79.2585797,0.03,28.01,65.98,3.63
20140219,Ariyalur,11.1530559,79.2585797,0.06,27.76,65.46,3.48
20140220,Ariyalur,11.1530559,79.2585797,0.0,27.43,63.74,3.37
20140221,Ariyalur,11.1530559,79.2585797,0.0,26.95,62.32,2.98
20140222,Ariyalur,11.1530559,79.2585797,0.0,27.08,60.63,2.82
20140223,Ariyalur,11.1530559,79.2585797,0.01,26.94,62.26,2.95
20140224,Ariyalur,11.1530559,79.2585797,5.6,26.91,73.63,4.11
20140225,Ariyalur,11.1530559,79.2585797,0.42,27.22,68.01,3.67
20140226,Ariyalur,11.1530559,79.2585797,0.03,27.36,60.31,2.82
20140227,Ariyalur,11.1530559,79.2585797,0.12,27.2,65.18,2.65
20140228,Ariyalur,11.1530559,79.2585797,0.01,27.86,63.29,2.61
20140301,Ariyalur,11.1530559,79.2585797,0.03,27.75,62.06,2.92
20140302,Ariyalur,11.1530559,79.2585797,0.02,28.16,62.37,2.67
20140303,Ariyalur,11.1530559,79.2585797,0.0,28.63,61.18,3.12
20140304,Ariyalur,11.1530559,79.2585797,0.16,28.65,61.4,3.11
20140305,Ariyalur,11.1530559,79.2585797,0.06,28.3,63.18,3.36
20140306,Ariyalur,11.1530559,79.2585797,0.01,28.62,62.01,3.12
20140307,Ariyalur,11.1530559,79.2585797,0.09,28.02,63.44,3.1
20140308,Ariyalur,11.1530559,79.2585797,0.17,28.11,63.31,3.21
20140309,Ariyalur,11.1530559,79.2585797,0.06,28.0,62.57,3.52
20140310,Ariyalur,11.1530559,79.2585797,0.01,28.48,61.1,3.31
20140311,Ariyalur,11.1530559,79.2585797,0.0,28.03,60.79,3.56
20140312,Ariyalur,11.1530559,79.2585797,0.0,27.94,59.34,3.05
20140313,Ariyalur,11.1530559,79.2585797,0.0,27.3,65.84,2.94
20140314,Ariyalur,11.1530559,79.2585797,0.0,27.43,62.85,2.85
20140315,Ariyalur,11.1530559,79.2585797,0.0,27.3,62.65,2.97
20140316,Ariyalur,11.1530559,79.2585797,0.0,27.94,63.82,3.21
20140317,Ariyalur,11.1530559,79.2585797,0.0,28.56,64.41,3.09
20140318,Ariyalur,11.1530559,79.2585797,0.0,29.41,60.3,2.96
20140319,Ariyalur,11.1530559,79.2585797,0.0,29.7,63.35,2.78
20140320,Ariyalur,11.1530559,79.2585797,0.11,30.69,60.09,2.43
20140321,Ariyalur,11.1530559,79.2585797,0.09,30.5,59.3,2.23
20140322,Ariyalur,11.1530559,79.2585797,0.0,30.34,60.68,2.21
20140323,Ariyalur,11.1530559,79.2585797,0.0,29.81,60.6,2.44
20140324,Ariyalur,11.1530559,79.2585797,0.0,29.48,59.46,2.3
20140325,Ariyalur,11.1530559,79.2585797,0.0,29.18,59.67,2.37
20140326,Ariyalur,11.1530559,79.2585797,0.0,29.0,60.87,2.89
20140327,Ariyalur,11.1530559,79.2585797,0.0,28.85,60.31,2.39
20140328,Ariyalur,11.1530559,79.2585797,0.0,28.75,57.96,2.04
20140329,Ariyalur,11.1530559,79.2585797,0.0,30.09,51.87,1.88
20140330,Ariyalur,11.1530559,79.2585797,0.0,30.39,50.69,1.98
20140331,Ariyalur,11.1530559,79.2585797,0.0,30.95,47.54,2.16
20140401,Ariyalur,11.1530559,79.2585797,0.0,31.25,56.39,2.4
20140402,Ariyalur,11.1530559,79.2585797,0.01,31.08,58.95,2.47
20140403,Ariyalur,11.1530559,79.2585797,0.02,30.32,60.89,2.2
20140404,Ariyalur,11.1530559,79.2585797,0.03,30.77,60.01,2.37
20140405,Ariyalur,11.1530559,79.2585797,0.08,31.25,61.52,2.59
20140406,Ariyalur,11.1530559,79.2585797,0.06,31.09,62.07,2.71
20140407,Ariyalur,11.1530559,79.2585797,0.11,31.19,60.42,2.26
20140408,Ariyalur,11.1530559,79.2585797,0.05,31.97,56.01,2.63
20140409,Ariyalur,11.1530559,79.2585797,0.08,32.15,57.66,2.67
20140410,Ariyalur,11.1530559,79.2585797,0.04,31.83,58.87,2.5
20140411,Ariyalur,11.1530559,79.2585797,0.04,32.62,52.96,2.44
20140412,Ariyalur,11.1530559,79.2585797,0.05,32.54,54.51,2.55
20140413,Ariyalur,11.1530559,79.2585797,0.05,31.47,60.91,2.56
20140414,Ariyalur,11.1530559,79.2585797,0.04,30.55,65.8,2.4
20140415,Ariyalur,11.1530559,79.2585797,0.16,30.41,61.85,2.04
20140416,Ariyalur,11.1530559,79.2585797,0.26,31.51,54.82,2.1
20140417,Ariyalur,11.1530559,79.2585797,0.06,32.38,54.7,2.42
20140418,Ariyalur,11.1530559,79.2585797,0.07,32.11,58.7,2.51
20140419,Ariyalur,11.1530559,79.2585797,0.04,30.73,60.21,1.59
20140420,Ariyalur,11.1530559,79.2585797,0.01,31.05,56.42,1.98
20140421,Ariyalur,11.1530559,79.2585797,0.12,30.77,60.96,2.14
20140422,Ariyalur,11.1530559,79.2585797,0.09,31.0,61.6,2.52
20140423,Ariyalur,11.1530559,79.2585797,0.24,31.14,61.81,2.11
20140424,Ariyalur,11.1530559,79.2585797,0.17,32.45,56.23,2.33
